Sno,Candidate,Constituency,Party,Result,Criminal Cases,Cases details(convicted),Cases details(accused),Serious IPC Detail,Other IPC Detail,Education,Movable Assets,Immovable Assets,Total Assets,Liabilities,PAN Given (Y or N)  
564,B.G. PATIL,Gulbarga Uttar,BJP,L,1,No Cases ,"(1):IPC Sections -  120B, 406, 423, 424, 467, 468, 471, 201, 34 , Other Details - Prl.J.M.F.C.Gulbarga,C.C.2335/2007,Date 15-10-2007 
",,"1 charges related to Dishonest or fraudulent removal or concealment of property (IPC Section-424) 
1 charges related to Forgery of valuable security, will, etc. (IPC Section-467) 
1 charges related to Forgery for purpose of cheating (IPC Section-468) 
1 charges related to Using as genuine a forged document or electronic record (IPC Section-471) 
1 charges related to Causing disappearance of evidence of offence, or giving false information to screen offender (IPC Section-201) 
1 charges related to Punishment of criminal conspiracy (IPC Section-120B) 
1 charges related to  criminal breach of trust (IPC Section-406) 
1 charges related to Dishonest or fraudulent execution of deed of transfer containing false statement of consideration (IPC Section-423) 
",graduate,35551488,16363500,51914988,0,N 
565,HAAMEED PASHA SARMAST,Gulbarga Uttar,IND,L,0,No Cases ,No Cases,,,8th,91000,0,91000,0,N 
566,DAYANAND PATIL,Gulbarga Uttar,IND,L,0,No Cases ,No Cases,,,8th,15000,800000,815000,0,N 
567,ALKUNTI BASAMMA,Gulbarga Uttar,IND,L,0,No Cases ,No Cases,,,illiterate,0,0,0,0,N 
568,SHOUKAT  ALI,Gulbarga Uttar,BSP,L,0,No Cases ,No Cases,,,10th,210000,15500000,15710000,1200030,Y 
569,K.SOMASHEKHAR,Gulbarga Uttar,IND,L,0,No Cases ,No Cases,,,12th,15000,0,15000,0,N 
570,CHANDRAKANT R KALAGI,Gulbarga Uttar,RAHS,L,0,No Cases ,No Cases,,,graduate_professional,25000,90000,115000,0,N 
571,QAMARUL  ISLAM,Gulbarga Uttar,INC,W,0,No Cases ,No Cases,,,graduate_professional,10267615,60000000,70267615,100000,Y 
572,SURESHCHANDRA MAHAGAONKAR,Gulbarga Uttar,JD(S),L,0,No Cases ,No Cases,,,graduate,2954507,13800000,16754507,9101119,Y 
573,MAHAMAD HUSSAIN,Gulbarga Uttar,IND,L,0,No Cases ,No Cases,,,graduate,275000,0,275000,0,N 
574,D. JAGANNATH (JAGGU),Gulbarga Uttar,IND,L,0,No Cases ,No Cases,,,10th,0,0,0,0,N 
575,VENKATARAMANA SHETTY,Gundlupet ,BSP,L,0,No Cases ,No Cases,,,graduate,90000,5900000,5990000,0,N 
576,H.S.MAHADEVA PRASAD,Gundlupet ,INC,W,0,No Cases ,No Cases,,,post_graduate,2610238,24126000,26736238,12941000,Y 
577,S.SHIVABASAPPA,Gundlupet ,JD(S),L,0,No Cases ,No Cases,,,10th,1575000,8700000,10275000,595315,N 
578,C.S.NIRANJAN KUMAR,Gundlupet ,BJP,L,0,No Cases ,No Cases,,,graduate,3210000,7940000,11150000,5272767,N 
579,VENKATREDDY MUDNAL,Gurmitkal,IND,L,0,No Cases ,No Cases,,,graduate,4812424,12150000,16962424,355687,Y 
580,CHANNAYYA,Gurmitkal,IND,L,0,No Cases ,No Cases,,,graduate_professional,50000,150000,200000,0,N 
581,BABURAO CHINCHANSUR,Gurmitkal,INC,W,0,No Cases ,No Cases,,,not_given,1325000,0,1325000,0,N 
582,VITHAL HEROOR,Gurmitkal,BJP,L,0,No Cases ,No Cases,,,graduate_professional,586000,22570000,23156000,918698,N 
583,VIRUPKSH REDDY,Gurmitkal,IND,L,0,No Cases ,No Cases,,,graduate,188500,1100000,1288500,0,Y 
584,NAGAN GOUDA KANDAKUR,Gurmitkal,JD(S),L,0,No Cases ,No Cases,,,graduate,742000,5800000,6542000,1350000,N 
585,BASAVARAJ JINIKERI,Gurmitkal,BSP,L,0,No Cases ,No Cases,,,10th,80000,400000,480000,0,N 
586,B.CHANDRA NAIK,Hadagalli,BJP,W,0,No Cases ,No Cases,,,5th,650000,1400000,2050000,100000,N 
587,H.M.MAHESH,Hadagalli,BSP,L,0,No Cases ,No Cases,,,not_given,100000,600000,700000,0,N 
588,P.T.PARAMESWARA NAIK,Hadagalli,INC,L,0,No Cases ,No Cases,,,not_given,4832000,11385000,16217000,1213000,N 
589,S.MOTHI NAIK,Hadagalli,JD(U),L,0,No Cases ,No Cases,,,not_given,1150000,1667000,2817000,0,N 
590,M.P.NAIK,Hadagalli,JD(S),L,0,No Cases ,No Cases,,,not_given,3996900,9219500,13216400,700754,Y 
591,L.B. P. BHEEMA NAIK,Hagaribommanahalli,JD(S),L,0,No Cases ,No Cases,,,8th,1700000,5500000,7200000,1000000,Y 
592,L.C. MITYA NAIK,Hagaribommanahalli,JD(U),L,0,No Cases ,No Cases,,,illiterate,0,350000,350000,0,N 
593,HEGDAL RAMANNA,Hagaribommanahalli,INC,L,0,No Cases ,No Cases,,,10th,438541,877750,1316291,316769,N 
594,K. NEMARAJ NAIK,Hagaribommanahalli,BJP,W,0,No Cases ,No Cases,,,graduate,427000,13265000,13692000,10732443,Y 
595,H YERRISWAMY,Hagaribommanahalli,LJP,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
596,SUNIL V HEGDE,Haliyal,JD(S),W,0,No Cases ,No Cases,,,12th,2935500,1041225,3976725,2776048,Y 
597,AJIT MANESHWAR NAIK,Haliyal,SP,L,0,No Cases ,No Cases,,,graduate_professional,2435000,11375000,13810000,0,Y 
598,DESHPANDE  RAGHUNATH VISHWANAT,Haliyal,INC,L,0,No Cases ,No Cases,,,graduate_professional,1279582962,176215058,1455798020,2023,Y 
599,PANDURANG PARASARAMA PATIL(GOUDA),Haliyal,BSP,L,1,No Cases ,"(1):IPC Sections -  143, 147, 148, 353, 332, 427, 149 , Other Details - Court:J.M.F.C Court Haliyala,C.C.NO:252/2002,Date:13/3/2003
Appile file to district megetrict court 
",,"1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332) 
1 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
",12th,10000,60000,70000,0,N 
600,APPARAO KRISHNA PUJARI,Haliyal,BJP,L,0,No Cases ,No Cases,,,12th,129000,320000,449000,28000,N 
601,PREMANAND VISHNU GAVAS,Haliyal,IND,L,0,No Cases ,No Cases,,,12th,110000,500000,610000,200000,N 
602,A.M. PATHAN,Hangal,JD(S),L,0,No Cases ,No Cases,,,12th,350000,700000,1050000,100000,Y 
603,PADEPPANAVAR NAGESHAPPA SHIVARUDRAPPA,Hangal,BSP,L,0,No Cases ,No Cases,,,graduate_professional,318000,1255000,1573000,80000,N 
604,UDASI CHANNABASAPPA MAHALINGAPPA,Hangal,BJP,W,0,No Cases ,No Cases,,,8th,2707235,11822000,14529235,405455,Y 
605,GANTER GUDDAPPA SANNA SIDDAPPA,Hangal,SP,L,0,No Cases ,No Cases,,,not_given,432000,2250000,2682000,1000000,N 
606,SHRINIVAS DEVENDRAPPA SANKPALE,Hangal,ABHM,L,0,No Cases ,No Cases,,,12th,358375,0,358375,135000,N 
607,TAHASILDAR MANOHAR,Hangal,INC,L,0,No Cases ,No Cases,,,graduate,2030000,32400000,34430000,3500000,N 
608,PUNDALIK .T. BADRAVATHI,Hangal,IND,L,0,No Cases ,No Cases,,,not_given,273925,200000,473925,0,N 
609,CHAMARAJ GURULINGAPPA MULKER,Hangal,JD(U),L,0,No Cases ,No Cases,,,graduate_professional,85000,0,85000,0,N 
610,R.NARENDRA,Hanur,INC,W,0,No Cases ,No Cases,,,post_graduate,2204347,14484000,16688347,0,N 
611,LAXMI,Hanur,SP,L,0,No Cases ,No Cases,,,12th,1964000,880000,2844000,0,N 
612,D.SOMANNA,Hanur,BJP,L,0,No Cases ,No Cases,,,not_given,150000,0,150000,0,N 
613,D.SRIKANTA SWAMY,Hanur,SKP,L,0,No Cases ,No Cases,,,not_given,25000,0,25000,0,N 
614,N.NAGARAJU,Hanur,RPI(A),L,0,No Cases ,No Cases,,,not_given,40000,0,40000,0,N 
615,LAKSHMANA,Hanur,JD(U),L,0,No Cases ,No Cases,,,literate,780000,13000000,13780000,0,Y 
616,IDLI RAMAPPA,Harapanahalli,CPI(ML)(L),L,0,No Cases ,No Cases,,,graduate_professional,0,0,0,47500,N 
617,P RAMANAGOUDA,Harapanahalli,JD(S),L,0,No Cases ,No Cases,,,post_graduate,300000,1800000,2100000,670000,N 
618,HOSALLI MALLESH,Harapanahalli,CPI,L,0,No Cases ,No Cases,,,10th,0,1300000,1300000,52000,N 
619,ALURU M G SWAMY,Harapanahalli,IND,L,0,No Cases ,No Cases,,,graduate,485000,5000000,5485000,0,N 
620,G KARUNAKARA REDDY,Harapanahalli,BJP,W,0,No Cases ,No Cases,,,graduate,100009153,235650000,335659153,0,Y 
621,B HANUMANTHAPPA,Harapanahalli,IND,L,0,No Cases ,No Cases,,,8th,0,650000,650000,0,N 
622,K M VEERABHADRAIAH,Harapanahalli,IND,L,0,No Cases ,No Cases,,,10th,10000,650000,660000,60000,N 
623,S R HANUMANTHA,Harapanahalli,LJP,L,0,No Cases ,No Cases,,,5th,0,0,0,0,N 
624,M P PRAKASH,Harapanahalli,INC,L,1,No Cases ,"(1):IPC Sections -  500 , Other Details - Court:J.M.F.C Court, Bellary,
Case No.2164/06
Date:25-07-2006 
",,"1 charges related to  defamation (IPC Section-500) 
",post_graduate,18649719,29050000,47699719,2778381,N 
625,H.M MAHESHWARA SWAMY,Harapanahalli,BSP,L,1,No Cases ,"(1):IPC Sections -  144, 147, 148, 127, 149 , Other Details - Indian Eletricity Sec. 39 & 40,Harapanahalli 1st Class Court Law,
C.R.No.107/93 and C.C.no.503/2007  
",,"1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to Voluntarily (IPC Section-39) 
1 charges related to Offence (IPC Section-40) 
",10th,5000,600000,605000,550000,N 
626,B.P.HARISH,Harihar,BJP,W,0,No Cases ,No Cases,,,graduate,2560796,9500000,12060796,453999,N 
627,M. BASHASAB,Harihar,IND,L,0,No Cases ,No Cases,,,10th,610000,0,610000,50000,N 
628,ANITHA PATIL,Harihar,IND,L,0,No Cases ,No Cases,,,graduate,50000,0,50000,29685,N 
629,H.NAGARAJ PALEGAR,Harihar,IND,L,0,No Cases ,No Cases,,,12th,30000,0,30000,0,N 
630,H.SHIVAPPA,Harihar,JD(S),L,0,No Cases ,No Cases,,,post_graduate,21422115,27264332,48686447,19839678,Y 
